"Gene" "Type"
"AL451127.1" "lncRNA"
"AL512594.1" "processed_pseudogene"
"RNA5SP286" "rRNA_pseudogene"
"AL513124.1" "processed_pseudogene"
"AL355674.1" "lncRNA"
"RORB-AS1" "lncRNA"
"RORB" "protein_coding"
"AL137018.1" "lncRNA"
"TRPM6" "protein_coding"
"RN7SKP47" "misc_RNA"
"RPSAP75" "processed_pseudogene"
"RNU6-445P" "snRNA"
"AL158825.1" "processed_pseudogene"
"C9orf40" "protein_coding"
"CARNMT1-AS1" "lncRNA"
"CARNMT1" "protein_coding"
"AL158825.2" "lncRNA"
"AL158825.3" "misc_RNA"
"NMRK1" "protein_coding"
"OSTF1" "protein_coding"
"AL133548.1" "misc_RNA"
"RNU6-1228P" "snRNA"
"AL158073.1" "processed_pseudogene"
"AL353780.1" "lncRNA"
"OTX2P1" "processed_pseudogene"
"PCSK5" "protein_coding"
"RBM22P5" "processed_pseudogene"
"RFK" "protein_coding"
"RPSAP9" "processed_pseudogene"
"GCNT1" "protein_coding"
"H3P32" "processed_pseudogene"
"PPIAP87" "processed_pseudogene"
"PRUNE2" "protein_coding"
"PCA3" "lncRNA"
"AL359314.1" "misc_RNA"
"AL390239.1" "misc_RNA"
"AL353637.2" "lncRNA"
"DNAJB5P1" "processed_pseudogene"
"LYPLA2P3" "processed_pseudogene"
"AL353637.1" "processed_pseudogene"
"FOXB2" "protein_coding"
"ATP5MFP3" "processed_pseudogene"
"RFC5P1" "processed_pseudogene"
"VPS13A-AS1" "lncRNA"
"VPS13A" "protein_coding"
"GNA14" "protein_coding"
"GNA14-AS1" "lncRNA"
"NUTF2P3" "processed_pseudogene"
"RNU6-1303P" "snRNA"
"GNAQ" "protein_coding"
"AL353705.2" "processed_pseudogene"
"RN7SKP59" "misc_RNA"
"AL353705.3" "processed_pseudogene"
"AL353705.1" "processed_pseudogene"
"AL353705.4" "processed_pseudogene"
"CEP78" "protein_coding"
"PSAT1" "protein_coding"
"AL592221.1" "processed_pseudogene"
"MTND2P8" "unprocessed_pseudogene"
"KRT18P24" "processed_pseudogene"
"AL512634.1" "lncRNA"
"CHCHD2P9" "processed_pseudogene"
"LNCARSR" "lncRNA"
"TLE4" "protein_coding"
"AL161912.3" "processed_pseudogene"
"NPAP1P6" "processed_pseudogene"
"AL161912.1" "lncRNA"
"AL161912.2" "lncRNA"
"AL161912.4" "TEC"
"AL161782.1" "lncRNA"
"LINC01507" "lncRNA"
"NPAP1P4" "processed_pseudogene"
"MTCO1P51" "unprocessed_pseudogene"
"MTND2P9" "unprocessed_pseudogene"
"RPS19P6" "processed_pseudogene"
"AL138749.1" "lncRNA"
"RPS20P25" "processed_pseudogene"
"AL161727.1" "processed_pseudogene"
"TLE1" "protein_coding"
"AL591368.1" "lncRNA"
"RNU6-1035P" "snRNA"
"RNA5SP287" "rRNA_pseudogene"
"AL158154.1" "snoRNA"
"SPATA31D5P" "transcribed_unprocessed_pseudogene"
"AL158154.2" "lncRNA"
"SPATA31D4" "protein_coding"
"AL158154.3" "lncRNA"
"SPATA31D3" "protein_coding"
"SPATA31D2P" "unprocessed_pseudogene"
"AL162726.3" "transcribed_unprocessed_pseudogene"
"SPATA31D1" "protein_coding"
"SPATA31B1P" "unprocessed_pseudogene"
"DDX10P2" "processed_pseudogene"
"AL158047.1" "processed_pseudogene"
"AL162726.1" "lncRNA"
"MTCO3P40" "processed_pseudogene"
"AL162726.2" "processed_pseudogene"
"AL162726.4" "lncRNA"
"AL356490.1" "TEC"
"AL353774.1" "lncRNA"
"RPS6P12" "processed_pseudogene"
"RASEF" "protein_coding"
"AL499602.1" "lncRNA"
"RN7SKP242" "misc_RNA"
"AL137847.3" "processed_pseudogene"
"AL137847.1" "lncRNA"
"FRMD3" "protein_coding"
"AL137847.2" "lncRNA"
"RNU4-29P" "snRNA"
"RNU4-15P" "snRNA"
"IDNK" "protein_coding"
"UBQLN1" "protein_coding"
"AL354920.1" "lncRNA"
"GKAP1" "protein_coding"
"AL354733.1" "lncRNA"
"AL354733.2" "lncRNA"
"KIF27" "protein_coding"
"C9orf64" "protein_coding"
"HNRNPK" "protein_coding"
"MIR7-1" "miRNA"
"AL354733.3" "lncRNA"
"RMI1" "protein_coding"
"AL732446.1" "misc_RNA"
"AL390838.1" "lncRNA"
"AL390838.2" "processed_pseudogene"
"SLC28A3" "protein_coding"
"AL356134.1" "lncRNA"
"AL157886.1" "lncRNA"
"AL354692.1" "processed_pseudogene"
"NTRK2" "protein_coding"
"UBE2V1P10" "processed_pseudogene"
"AL354897.1" "lncRNA"
"AL354897.2" "lncRNA"
"AL583827.1" "lncRNA"
"STK33P1" "processed_pseudogene"
"AGTPBP1" "protein_coding"
"AL353743.4" "unprocessed_pseudogene"
"AL157882.1" "lncRNA"
"AL353743.2" "lncRNA"
"AL353743.1" "transcribed_unprocessed_pseudogene"
"PHBP7" "processed_pseudogene"
"AL353743.3" "processed_pseudogene"
"NAA35" "protein_coding"
"GOLM1" "protein_coding"
"AL161447.2" "lncRNA"
"AL161447.1" "processed_pseudogene"
"C9orf153" "protein_coding"
"AL137849.1" "processed_pseudogene"
"RN7SKP264" "misc_RNA"
"ISCA1" "protein_coding"
"TUT7" "protein_coding"
"AL353678.1" "processed_pseudogene"
"AL158828.1" "lncRNA"
"RNU2-36P" "snRNA"
"AL353613.1" "lncRNA"
"LINC02834" "lncRNA"
"AL159996.1" "lncRNA"
"GAS1" "protein_coding"
"GAS1RR" "lncRNA"
"AL513318.2" "lncRNA"
"CDC20P1" "processed_pseudogene"
"AL513318.1" "processed_pseudogene"
"C9orf170" "lncRNA"
"AL136367.1" "snoRNA"
"AL353752.1" "processed_pseudogene"
"AL353752.2" "lncRNA"
"DAPK1" "protein_coding"
"AL161787.1" "processed_pseudogene"
"DAPK1-IT1" "lncRNA"
"CTSL" "protein_coding"
"AL160279.1" "processed_pseudogene"
"CTSL3P" "transcribed_unprocessed_pseudogene"
"AL772337.4" "unprocessed_pseudogene"
"FBP2P1" "transcribed_unprocessed_pseudogene"
"ELF2P3" "processed_pseudogene"
"NPAP1P7" "processed_pseudogene"
"CTSLP8" "unprocessed_pseudogene"
"AL772337.2" "lncRNA"
"AL772337.1" "transcribed_unprocessed_pseudogene"
"AL772337.3" "transcribed_unprocessed_pseudogene"
"SPATA31E1" "protein_coding"
"SPATA31C1" "transcribed_unprocessed_pseudogene"
"AL353572.2" "processed_pseudogene"
"AL353572.3" "protein_coding"
"CDK20" "protein_coding"
"RNU6-86P" "snRNA"
"RPS10P3" "processed_pseudogene"
"AL353572.4" "lncRNA"
"AL353572.1" "processed_pseudogene"
"SPATA31C2" "unprocessed_pseudogene"
"AL353726.1" "processed_pseudogene"
"AL353726.2" "TEC"
"AL451142.1" "processed_pseudogene"
"AL451142.2" "processed_pseudogene"
"RPSAP49" "processed_pseudogene"
"AL353748.3" "lncRNA"
"SPIN1" "protein_coding"
"AL353748.2" "processed_pseudogene"
"HNRNPA1P14" "processed_pseudogene"
"AL353748.1" "processed_pseudogene"
"NXNL2" "protein_coding"
"LINC02843" "lncRNA"
"AL390791.1" "lncRNA"
"MIR4289" "miRNA"
"PCNPP2" "processed_pseudogene"
"AL772202.1" "lncRNA"
"S1PR3" "protein_coding"
"SHC3" "protein_coding"
"AL353150.1" "lncRNA"
"CKS2" "protein_coding"
"MIR3153" "miRNA"
"SECISBP2" "protein_coding"
"SEMA4D" "protein_coding"
"PA2G4P6" "processed_pseudogene"
"AL590233.1" "processed_pseudogene"
"AL161910.1" "lncRNA"
"GADD45G" "protein_coding"
"AL606807.1" "lncRNA"
"BX470209.2" "lncRNA"
"BX470209.1" "lncRNA"
"AL161629.1" "lncRNA"
"MIR4290HG" "lncRNA"
"MIR4290" "miRNA"
"IL6RP1" "processed_pseudogene"
"AL161629.2" "processed_pseudogene"
"AL353649.1" "TEC"
"OR7E31P" "unprocessed_pseudogene"
"OR7E116P" "unprocessed_pseudogene"
"LINC01508" "lncRNA"
"LINC01501" "lncRNA"
"DIRAS2" "protein_coding"
"OR7E109P" "unprocessed_pseudogene"
"OR7E108P" "unprocessed_pseudogene"
"SYK" "protein_coding"
"AL162585.1" "lncRNA"
"AL355607.1" "lncRNA"
"AL355607.2" "lncRNA"
"AL158071.4" "lncRNA"
"AL158071.3" "lncRNA"
"AL158071.1" "lncRNA"
"LINC00484" "lncRNA"
"AL158071.2" "processed_pseudogene"
"AL158071.5" "lncRNA"
"AUH" "protein_coding"
"NFIL3" "protein_coding"
"AL353764.1" "lncRNA"
"ROR2" "protein_coding"
"PAICSP2" "processed_pseudogene"
"MIR3910-1" "miRNA"
"MIR3910-2" "miRNA"
"SPTLC1" "protein_coding"
"AL391219.1" "processed_pseudogene"
"HSPE1P22" "processed_pseudogene"
"AL354751.3" "processed_pseudogene"
"MTATP6P29" "unprocessed_pseudogene"
"MTCO3P29" "unprocessed_pseudogene"
"MTND3P23" "unprocessed_pseudogene"
"MTND4LP7" "unprocessed_pseudogene"
"MTND4P15" "unprocessed_pseudogene"
"AL354751.1" "unprocessed_pseudogene"
"LINC00475" "transcribed_unprocessed_pseudogene"
"AL354751.2" "unprocessed_pseudogene"
"BEND3P2" "processed_pseudogene"
"PRSS47" "transcribed_unprocessed_pseudogene"
"AL136097.2" "lncRNA"
"IARS1" "protein_coding"
"MIR3651" "miRNA"
"SNORA84" "snoRNA"
"NOL8" "protein_coding"
"CENPP" "protein_coding"
"AL136097.1" "processed_pseudogene"
"OGN" "protein_coding"
"OMD" "protein_coding"
"ASPN" "protein_coding"
"ECM2" "protein_coding"
"MIR4670" "miRNA"
"AL157827.1" "unprocessed_pseudogene"
"AL157827.2" "lncRNA"
"IPPK" "protein_coding"
"AL137074.1" "processed_pseudogene"
"BICD2" "protein_coding"
"AL136981.3" "lncRNA"
"AL136981.4" "lncRNA"
"ANKRD19P" "transcribed_unprocessed_pseudogene"
"RNU6-714P" "snRNA"
"EEF1DP2" "processed_pseudogene"
"AL136981.2" "unprocessed_pseudogene"
"ZNF484" "protein_coding"
"AL136981.1" "transcribed_unprocessed_pseudogene"
"SNX18P2" "processed_pseudogene"
"ALOX15P2" "unprocessed_pseudogene"
"FGD3" "protein_coding"
"SUSD3" "protein_coding"
"AL451065.1" "lncRNA"
"CARD19" "protein_coding"
"NINJ1" "protein_coding"
"AL390760.1" "lncRNA"
"WNK2" "protein_coding"
"C9orf129" "protein_coding"
"RNU6-829P" "snRNA"
"AL583839.1" "misc_RNA"
"AL583839.2" "lncRNA"
"FAM120AOS" "protein_coding"
"FAM120A" "protein_coding"
"PHF2" "protein_coding"
"MIR548AU" "miRNA"
"AL442224.1" "lncRNA"
"MIR4291" "miRNA"
"BARX1" "protein_coding"
"BARX1-DT" "lncRNA"
"PTPDC1" "protein_coding"
"CYCSP24" "processed_pseudogene"
"AL360020.1" "lncRNA"
"AL158152.1" "transcribed_unitary_pseudogene"
"MIRLET7A1HG" "lncRNA"
"MIRLET7A1" "miRNA"
"MIRLET7F1" "miRNA"
"LINC02603" "lncRNA"
"MIRLET7D" "miRNA"
"ZNF169" "protein_coding"
"VDAC1P11" "processed_pseudogene"
"NUTM2F" "protein_coding"
"AL691447.2" "lncRNA"
"AL691447.1" "processed_pseudogene"
"PTMAP12" "processed_pseudogene"
"MFSD14B" "protein_coding"
"YRDCP1" "processed_pseudogene"
"AL358232.2" "lncRNA"
"AL358232.1" "unprocessed_pseudogene"
"RNU6-669P" "snRNA"
"PCAT7" "lncRNA"
"FBP2" "protein_coding"
"FBP1" "protein_coding"
"AL157936.1" "lncRNA"
"AOPEP" "protein_coding"
"MIR2278" "miRNA"
"AL807757.1" "lncRNA"
"AL807757.2" "lncRNA"
"AL353768.1" "lncRNA"
"AL353768.2" "lncRNA"
"MIR6081" "miRNA"
"MIR23B" "miRNA"
"MIR27B" "miRNA"
"MIR3074" "miRNA"
"MIR24-1" "miRNA"
"FANCC" "protein_coding"
"AL354893.2" "lncRNA"
"AL354893.1" "processed_pseudogene"
"RNA5SP288" "rRNA_pseudogene"
"AL157384.1" "processed_pseudogene"
"AL161729.3" "lncRNA"
"MT1P1" "processed_pseudogene"
"PTCH1" "protein_coding"
"AL161729.2" "lncRNA"
"AL161729.1" "lncRNA"
"AL161729.4" "lncRNA"
"AL392185.1" "lncRNA"
"AL354861.2" "lncRNA"
"AL354861.1" "processed_pseudogene"
"LINC00476" "lncRNA"
"AL354861.3" "lncRNA"
"RNU2-46P" "snRNA"
"ERCC6L2" "protein_coding"
"RNA5SP289" "rRNA_pseudogene"
"AL161454.1" "processed_pseudogene"
"LINC00092" "lncRNA"
"AL449403.2" "lncRNA"
"AL449403.1" "misc_RNA"
"AL449403.3" "lncRNA"
"AL449403.4" "lncRNA"
"EIF4BP3" "processed_pseudogene"
"HSD17B3" "protein_coding"
"AL160269.1" "protein_coding"
"HSD17B3-AS1" "lncRNA"
"RNU6-1160P" "snRNA"
"SLC35D2" "protein_coding"
"ZNF367" "protein_coding"
"AL133477.1" "processed_pseudogene"
"AL133477.2" "lncRNA"
"AL133477.3" "lncRNA"
"HABP4" "protein_coding"
"CDC14B" "protein_coding"
"PRXL2C" "protein_coding"
"AL589843.1" "lncRNA"
"AL589843.2" "transcribed_processed_pseudogene"
"ZNF510" "protein_coding"
"ZNF782" "protein_coding"
"MFSD14C" "protein_coding"
"PTMAP11" "processed_pseudogene"
"AL158827.1" "processed_pseudogene"
"NUTM2G" "protein_coding"
"YRDCP2" "processed_pseudogene"
"CTSV" "protein_coding"
"TCEA1P1" "processed_pseudogene"
"GAS2L1P2" "transcribed_processed_pseudogene"
"VN1R51P" "processed_pseudogene"
"FAM220CP" "processed_pseudogene"
"AL445670.1" "processed_pseudogene"
"ANKRD18CP" "unprocessed_pseudogene"
"RNU6-798P" "snRNA"
"AL590705.3" "lncRNA"
"ZNF322P1" "processed_pseudogene"
"AL590705.1" "lncRNA"
"AL590705.2" "lncRNA"
"SUGT1P4-STRA6LP" "lncRNA"
"STRA6LP" "lncRNA"
"SUGT1P4" "unprocessed_pseudogene"
"AL512590.2" "transcribed_unitary_pseudogene"
"CCDC180" "protein_coding"
"MIR1302-8" "miRNA"
"AL512590.1" "unprocessed_pseudogene"
"AL512590.3" "lncRNA"
"TDRD7" "protein_coding"
"TMOD1" "protein_coding"
"AL162385.1" "lncRNA"
"TSTD2" "protein_coding"
"NCBP1" "protein_coding"
"AL162385.2" "lncRNA"
"XPA" "protein_coding"
"KRT18P13" "processed_pseudogene"
"PTCSC2" "lncRNA"
"AL445531.1" "lncRNA"
"FOXE1" "protein_coding"
"TRMO" "protein_coding"
"AL499604.1" "misc_RNA"
"AL499604.2" "lncRNA"
"HEMGN" "protein_coding"
"ANP32B" "protein_coding"
"AL354726.1" "lncRNA"
"RNU6-918P" "snRNA"
"NANS" "protein_coding"
"TRIM14" "protein_coding"
"AL137073.1" "misc_RNA"
"CORO2A" "protein_coding"
"TBC1D2" "protein_coding"
"MIR6854" "miRNA"
"AL360081.1" "processed_pseudogene"
"GABBR2" "protein_coding"
"SEPTIN7P7" "processed_pseudogene"
"ANKS6" "protein_coding"
"AL807776.1" "lncRNA"
"GALNT12" "protein_coding"
"AL136084.2" "lncRNA"
"AL136084.1" "processed_pseudogene"
"COL15A1" "protein_coding"
"AL136084.3" "lncRNA"
"TGFBR1" "protein_coding"
"RNA5SP290" "rRNA_pseudogene"
"AL162427.1" "lncRNA"
"RN7SL794P" "misc_RNA"
"ALG2" "protein_coding"
"SEC61B" "protein_coding"
"RN7SKP225" "misc_RNA"
"KRT8P11" "processed_pseudogene"
"NAMA" "lncRNA"
"AL137067.2" "misc_RNA"
"AL137067.3" "lncRNA"
"AL137067.1" "misc_RNA"
"AL359710.1" "lncRNA"
"STX17-AS1" "lncRNA"
"AL162394.1" "lncRNA"
"NR4A3" "protein_coding"
"STX17" "protein_coding"
"AL358937.1" "lncRNA"
"ERP44" "protein_coding"
"UPF3AP3" "transcribed_processed_pseudogene"
"INVS" "protein_coding"
"RN7SL75P" "misc_RNA"
"RPS2P35" "processed_pseudogene"
"AL137072.1" "processed_pseudogene"
"NANOGP5" "transcribed_processed_pseudogene"
"TEX10" "protein_coding"
"MSANTD3" "protein_coding"
"MSANTD3-TMEFF1" "protein_coding"
"TMEFF1" "protein_coding"
"CAVIN4" "protein_coding"
"RN7SKP87" "misc_RNA"
"ACTG1P19" "processed_pseudogene"
"AL162395.1" "processed_pseudogene"
"GAPDHP26" "processed_pseudogene"
"PLPPR1" "protein_coding"
"AL161631.1" "processed_pseudogene"
"AL359893.2" "snoRNA"
"ACNATP" "unitary_pseudogene"
"TRMT112P4" "processed_pseudogene"
"AL359893.1" "processed_pseudogene"
"BAAT" "protein_coding"
"FYTTD1P1" "processed_pseudogene"
"MRPL50" "protein_coding"
"ZNF189" "protein_coding"
"ALDOB" "protein_coding"
"AL353621.2" "processed_pseudogene"
"TMEM246-AS1" "lncRNA"
"PGAP4" "protein_coding"
"AL353621.1" "processed_pseudogene"
"RNF20" "protein_coding"
"GRIN3A" "protein_coding"
"PPP3R2" "protein_coding"
"MTND3P4" "processed_pseudogene"
"ARL2BPP7" "processed_pseudogene"
"RNU6-329P" "snRNA"
"AL442644.2" "processed_pseudogene"
"AL442644.1" "processed_pseudogene"
"LINC00587" "lncRNA"
"ZYG11AP1" "processed_pseudogene"
"AL365396.1" "processed_pseudogene"
"CYLC2" "protein_coding"
"AL589823.1" "processed_pseudogene"
"LINC01492" "lncRNA"
"AL390962.1" "lncRNA"
"RNA5SP291" "rRNA_pseudogene"
"AL590381.1" "lncRNA"
"SMC2-AS1" "lncRNA"
"SMC2" "protein_coding"
"TOPORSLP" "transcribed_unitary_pseudogene"
"AL512646.1" "processed_pseudogene"
"OR13F1" "protein_coding"
"AL450426.1" "lncRNA"
"OR13C4" "protein_coding"
"OR13C3" "protein_coding"
"OR13C8" "protein_coding"
"OR13D2P" "unprocessed_pseudogene"
"OR13C5" "protein_coding"
"OR13C2" "protein_coding"
"OR13C9" "protein_coding"
"OR13I1P" "unprocessed_pseudogene"
"OR13C1P" "transcribed_unprocessed_pseudogene"
"OR13D1" "protein_coding"
"OR13D3P" "unprocessed_pseudogene"
"NIPSNAP3A" "protein_coding"
"NIPSNAP3B" "protein_coding"
"ABCA1" "protein_coding"
"AL359182.1" "lncRNA"
"CT70" "lncRNA"
"AL591506.1" "lncRNA"
"RN7SKP191" "misc_RNA"
"SLC44A1" "protein_coding"
"FSD1L" "protein_coding"
"RALGAPA1P1" "processed_pseudogene"
"AL158070.1" "lncRNA"
"FKTN" "protein_coding"
"AL158070.2" "TEC"
"TAL2" "protein_coding"
"TMEM38B" "protein_coding"
"AL592437.1" "processed_pseudogene"
"AL592437.2" "processed_pseudogene"
"SLC25A6P5" "processed_pseudogene"
"LINC01505" "lncRNA"
"AL732323.1" "lncRNA"
"AL451140.1" "lncRNA"
"MIR8081" "miRNA"
"AL512649.2" "lncRNA"
"LINC01505" "lncRNA"
"RN7SKP77" "misc_RNA"
"AL512649.1" "processed_pseudogene"
"RNA5SP292" "rRNA_pseudogene"
"ZNF462" "protein_coding"
"AL807761.4" "lncRNA"
"AL512593.1" "processed_pseudogene"
"AL807761.1" "processed_pseudogene"
"AL807761.2" "processed_pseudogene"
"AL807761.3" "lncRNA"
"AL445487.1" "processed_pseudogene"
"RAD23B" "protein_coding"
"LINC01509" "lncRNA"
"AL359552.1" "lncRNA"
"HMGN2P32" "processed_pseudogene"
"RNU6-492P" "snRNA"
"KLF4" "protein_coding"
"AL389915.1" "processed_pseudogene"
"PPIAP88" "processed_pseudogene"
"RNU6-996P" "snRNA"
"RNU6-1064P" "snRNA"
"RN7SL659P" "misc_RNA"
"RPL36AP6" "processed_pseudogene"
"AL162389.1" "processed_pseudogene"
"RNA5SP293" "rRNA_pseudogene"
"RPS15AP27" "processed_pseudogene"
"AC068050.1" "processed_pseudogene"
"CHCHD4P2" "processed_pseudogene"
"AL353742.1" "lncRNA"
"AL669983.1" "processed_pseudogene"
"AL358779.1" "lncRNA"
"RPL36AP35" "processed_pseudogene"
"AL359692.1" "processed_pseudogene"
"ACTL7B" "protein_coding"
"ACTL7A" "protein_coding"
"ELP1" "protein_coding"
"ABITRAM" "protein_coding"
"CTNNAL1" "protein_coding"
"TMEM245" "protein_coding"
"AL354797.1" "misc_RNA"
"MIR32" "miRNA"
"FRRS1L" "protein_coding"
"EPB41L4B" "protein_coding"
"RNU6-984P" "snRNA"
"MTND2P11" "unprocessed_pseudogene"
"AL359963.1" "misc_RNA"
"PTPN3" "protein_coding"
"PALM2AKAP2" "protein_coding"
"MIR3927" "miRNA"
"YBX1P6" "processed_pseudogene"
"AL158829.1" "lncRNA"
"AL158823.1" "processed_pseudogene"
"C9orf152" "protein_coding"
"TXN" "protein_coding"
"TXNDC8" "protein_coding"
"SVEP1" "protein_coding"
"RNU6-1039P" "snRNA"
"AL592463.1" "lncRNA"
"MUSK" "protein_coding"
"AL513328.1" "processed_pseudogene"
"LPAR1" "protein_coding"
"RNU6-432P" "snRNA"
"AL442064.1" "misc_RNA"
"RNY4P18" "misc_RNA"
"AL162414.1" "lncRNA"
"MIR7702" "miRNA"
"OR2K2" "protein_coding"
"ECPAS" "protein_coding"
"RNA5SP294" "rRNA_pseudogene"
"ZNF483" "protein_coding"
"PTGR1" "protein_coding"
"AL135787.1" "lncRNA"
"LRRC37A5P" "transcribed_unprocessed_pseudogene"
"DNAJC25" "protein_coding"
"DNAJC25-GNG10" "protein_coding"
"GNG10" "protein_coding"
"SHOC1" "protein_coding"
"AL354877.1" "processed_pseudogene"
"RNU6-1013P" "snRNA"
"UGCG" "protein_coding"
"MIR4668" "miRNA"
"RNU6-710P" "snRNA"
"AL138756.1" "lncRNA"
"SUSD1" "protein_coding"
"RNU6-855P" "snRNA"
"AL158824.1" "misc_RNA"
"AL158824.2" "processed_pseudogene"
"PTBP3" "protein_coding"
"RN7SL57P" "misc_RNA"
"RNA5SP295" "rRNA_pseudogene"
"RN7SL430P" "misc_RNA"
"HSPE1P28" "processed_pseudogene"
"AL359073.1" "processed_pseudogene"
"HSDL2" "protein_coding"
"C9orf147" "lncRNA"
"KIAA1958" "protein_coding"
"AL445187.1" "unprocessed_pseudogene"
"INIP" "protein_coding"
"AL390067.1" "lncRNA"
"SNX30" "protein_coding"
"SLC46A2" "protein_coding"
"AL139041.1" "lncRNA"
"ZNF883" "transcribed_unprocessed_pseudogene"
"MUPP" "transcribed_unprocessed_pseudogene"
"ZNF883" "protein_coding"
"ZFP37" "protein_coding"
"AL162588.1" "unprocessed_pseudogene"
"AL449105.1" "unprocessed_pseudogene"
"AL449105.3" "unprocessed_pseudogene"
"AL449105.4" "unprocessed_pseudogene"
"AL449105.2" "unprocessed_pseudogene"
"AL449105.5" "unprocessed_pseudogene"
"FAM225B" "lncRNA"
"FAM225A" "lncRNA"
"SLC31A2" "protein_coding"
"FKBP15" "protein_coding"
"SLC31A1" "protein_coding"
"CDC26" "protein_coding"
"PRPF4" "protein_coding"
"RNF183" "protein_coding"
"WDR31" "protein_coding"
"BSPRY" "protein_coding"
"HDHD3" "protein_coding"
"ALAD" "protein_coding"
"POLE3" "protein_coding"
"C9orf43" "protein_coding"
"RGS3" "protein_coding"
"AL162727.2" "lncRNA"
"AL162727.3" "TEC"
"AL162727.1" "lncRNA"
"AL157702.2" "lncRNA"
"AL157702.1" "processed_pseudogene"
"AL162393.1" "processed_pseudogene"
"ZNF618" "protein_coding"
"AMBP" "protein_coding"
"KIF12" "protein_coding"
"COL27A1" "protein_coding"
"MIR455" "miRNA"
"ORM1" "protein_coding"
"ORM2" "protein_coding"
"AKNA" "protein_coding"
"AL138895.1" "lncRNA"
"WHRN" "protein_coding"
"AL138895.2" "processed_pseudogene"
"AL160275.3" "processed_pseudogene"
"ATP6V1G1" "protein_coding"
"TMEM268" "protein_coding"
"AL160275.1" "misc_RNA"
"TEX53" "protein_coding"
"TEX48" "protein_coding"
"AL160275.2" "processed_pseudogene"
"AL390240.1" "processed_pseudogene"
"TNFSF15" "protein_coding"
"AL133412.1" "processed_pseudogene"
"DEC1" "lncRNA"
"TNFSF8" "protein_coding"
"TNC" "protein_coding"
"AL162425.1" "lncRNA"
"AL355601.1" "lncRNA"
"AL691420.1" "lncRNA"
"AL731897.1" "snRNA"
"LINC00474" "lncRNA"
"AL691426.1" "lncRNA"
"PAPPA" "protein_coding"
"PAPPA-AS2" "lncRNA"
"AL137024.1" "lncRNA"
"PAPPA-AS1" "lncRNA"
"ASTN2" "protein_coding"
"ASTN2-AS1" "lncRNA"
"AL133284.1" "lncRNA"
"TRIM32" "protein_coding"
"AL157829.1" "lncRNA"
"RPL10P3" "processed_pseudogene"
"SNORA70C" "snoRNA"
"RN7SKP128" "misc_RNA"
"RN7SKP125" "misc_RNA"
"AL445644.1" "lncRNA"
"AL161630.1" "lncRNA"
"RPL35AP22" "processed_pseudogene"
"AL160272.2" "protein_coding"
"TLR4" "protein_coding"
"RNU6-1082P" "snRNA"
"AL160272.1" "lncRNA"
"AL354754.1" "lncRNA"
"TPT1P9" "processed_pseudogene"
"AL355592.1" "lncRNA"
"LINC02578" "lncRNA"
"TUBB4BP6" "processed_pseudogene"
"BRINP1" "protein_coding"
"AC006288.1" "lncRNA"
"LINC01613" "lncRNA"
"AL441989.1" "lncRNA"
"MIR147A" "miRNA"
"CDK5RAP2" "protein_coding"
"MEGF9" "protein_coding"
"AHCYP2" "processed_pseudogene"
"FBXW2" "protein_coding"
"B3GNT10" "protein_coding"
"AL161911.1" "processed_pseudogene"
"PSMD5" "protein_coding"
"CUTALP" "transcribed_unitary_pseudogene"
"PHF19" "protein_coding"
"TRAF1" "protein_coding"
"C5" "protein_coding"
"CNTRL" "protein_coding"
"RAB14" "protein_coding"
"RN7SL181P" "misc_RNA"
"GSN" "protein_coding"
"AL513122.1" "processed_pseudogene"
"AL513122.2" "lncRNA"
"GSN-AS1" "lncRNA"
"STOM" "protein_coding"
"AL359644.1" "lncRNA"
"GGTA1P" "transcribed_unitary_pseudogene"
"RN7SL187P" "misc_RNA"
"HMGB1P37" "processed_pseudogene"
"DAB2IP" "protein_coding"
"AL357936.1" "lncRNA"
"AL596244.1" "lncRNA"
"TTLL11" "protein_coding"
"TTLL11-IT1" "lncRNA"
"MIR4478" "miRNA"
"NDUFA8" "protein_coding"
"MORN5" "protein_coding"
"LHX6" "protein_coding"
"RBM18" "protein_coding"
"MRRF" "protein_coding"
"PTGS1" "protein_coding"
"AL162424.1" "lncRNA"
"AL359636.1" "lncRNA"
"AL359636.2" "lncRNA"
"OR1J1" "protein_coding"
"OR1J2" "protein_coding"
"OR1J4" "protein_coding"
"OR1N1" "protein_coding"
"OR1N2" "protein_coding"
"OR1L8" "protein_coding"
"OR1H1P" "unprocessed_pseudogene"
"OR1Q1" "protein_coding"
"OR1B1" "protein_coding"
"OR1L1" "protein_coding"
"OR1L3" "protein_coding"
"TLK1P1" "processed_pseudogene"
"OR1L4" "protein_coding"
"OR1L6" "protein_coding"
"SKA2P1" "processed_pseudogene"
"OR5C1" "protein_coding"
"PDCL" "protein_coding"
"OR1K1" "protein_coding"
"KRT18P67" "processed_pseudogene"
"RC3H2" "protein_coding"
"SNORD90" "snoRNA"
"ZBTB6" "protein_coding"
"ZBTB26" "protein_coding"
"AC007066.2" "lncRNA"
"AC007066.3" "lncRNA"
"RABGAP1" "protein_coding"
"RNY1P15" "misc_RNA"
"AC007066.1" "processed_pseudogene"
"GPR21" "protein_coding"
"AL365338.1" "processed_pseudogene"
"MIR600HG" "lncRNA"
"STRBP" "protein_coding"
"MIR600" "miRNA"
"CRB2" "protein_coding"
"DENND1A" "protein_coding"
"MIR601" "miRNA"
"MIR7150" "miRNA"
"AL445489.1" "lncRNA"
